Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,amsgrad,betas,epochs,eps,lr,min_delta,mode,monitor,optimizer_name,patience,stopped_epoch,weight_decay,best_score,epoch,restored_epoch,stopped_epoch,val_acc,val_acc_epoch,val_acc_step,val_f1_score,val_f1_score_epoch,val_loss,val_loss_epoch,val_loss_step,wait_count,Mode,batch size,testing
2022-01-25 11:46:07,1.0h,9816d23368114718bdf338ef979c4510,,NOTEBOOK,/Users/jan.ewerszumrode@miele.com/DeepLearning_Uni/PneumoniaDetection_XAI_v2,jan.ewerszumrode@miele.com,FINISHED,False,"(0.9, 0.999)",101,1e-08,0.001,-0.01,min,val_loss,Adam,20,0,0,-1.0983495712280273,,72,92,,,,0.7705544829368591,,-1.0111135244369507,,,20,training,,
2021-12-21 19:55:36,1.0h,1c37605048204864babedf1d4c6cd6ea,,NOTEBOOK,/Users/jan.ewerszumrode@miele.com/DeepLearning_Uni/PneumoniaDetection_XAI_v1,jan.ewerszumrode@miele.com,FINISHED,False,"(0.9, 0.999)",101,1e-08,0.001,-0.01,min,val_loss,Adam,20,0,0,-1.5152336359024048,,69,89,,,,0.8260038495063782,,-1.4080514907836914,,,20,testing,,
2021-12-21 18:50:24,1.1h,00545c1d91974cd2864c0b1c07e0a817,,NOTEBOOK,/Users/jan.ewerszumrode@miele.com/DeepLearning_Uni/PneumoniaDetection_XAI_v1,jan.ewerszumrode@miele.com,FINISHED,False,"(0.9, 0.999)",101,1e-08,0.001,-0.01,min,val_loss,Adam,20,0,0,-3.3629376888275146,,73,93,,,,0.9684512615203857,,-3.2348783016204834,,,20,testing,,
2021-12-21 18:41:19,6.4min,f20aa7b5f43740cda475830067883ccd,,NOTEBOOK,/Users/jan.ewerszumrode@miele.com/DeepLearning_Uni/PneumoniaDetection_XAI_v1,jan.ewerszumrode@miele.com,FINISHED,False,"(0.9, 0.999)",101,1e-08,0.001,-0.01,min,val_loss,Adam,20,0,0,,,,,,,,0.7026768922805786,,-0.4008693993091583,,,,testing,,
2021-12-21 18:38:09,3.0min,9099b32f56834830931019880c834703,,NOTEBOOK,/Users/jan.ewerszumrode@miele.com/DeepLearning_Uni/PneumoniaDetection_XAI_v1,jan.ewerszumrode@miele.com,FINISHED,False,"(0.9, 0.999)",15,1e-08,0.001,-0.01,min,val_loss,Adam,20,0,0,,,,,,,,,,,,,,training,,
2021-12-21 18:24:23,8.2min,6614312bd36340c7a50856d8f62f2492,,NOTEBOOK,/Users/jan.ewerszumrode@miele.com/DeepLearning_Uni/PneumoniaDetection_XAI_v1,jan.ewerszumrode@miele.com,FINISHED,False,"(0.9, 0.999)",101,1e-08,0.001,-0.01,min,val_loss,Adam,10,0,0,,,,,,,,0.8546845316886902,,-0.5440376400947571,,,,testing,,
2021-12-21 18:19:25,46.6s,cd436be14b984a66a6a73d128cd6c0f9,,NOTEBOOK,/Users/jan.ewerszumrode@miele.com/DeepLearning_Uni/PneumoniaDetection_XAI_v1,jan.ewerszumrode@miele.com,FAILED,,,,,,-0.01,min,val_loss,,10,0,,,,,,,,,,,,,,,,,
2021-12-21 18:16:39,2.1min,b7963f436ec9433b8641aa3980d71913,,NOTEBOOK,/Users/jan.ewerszumrode@miele.com/DeepLearning_Uni/PneumoniaDetection_XAI_v1,jan.ewerszumrode@miele.com,FAILED,False,"(0.9, 0.999)",101,1e-08,0.001,-0.01,min,val_loss,Adam,10,0,0,,,,,,,,,,,,,,training,,
2021-12-21 18:12:43,3.5min,224bbd145e1945748a1225d6736fbaed,,NOTEBOOK,/Users/jan.ewerszumrode@miele.com/DeepLearning_Uni/PneumoniaDetection_XAI_v1,jan.ewerszumrode@miele.com,FINISHED,False,"(0.9, 0.999)",101,1e-08,0.001,-0.01,min,val_loss,Adam,20,0,0,,,,,,,,0.7418737411499023,,0.12923204898834229,,,,training,2048,
2021-12-21 17:06:57,1.8min,71fedc3a21db4f3da2d1e6c0431f1f98,,NOTEBOOK,/Users/jan.ewerszumrode@miele.com/DeepLearning_Uni/PneumoniaDetection_XAI_v1,jan.ewerszumrode@miele.com,FINISHED,False,"(0.9, 0.999)",15,1e-08,0.001,-0.01,min,val_loss,Adam,20,0,0,,,,,,,,0.7447418570518494,,-0.7921541333198547,,,,training,,
2021-12-21 14:59:57,1.0h,b86b25a056dd47f8ac65c7ee7ec3fc85,,NOTEBOOK,/Users/jan.ewerszumrode@miele.com/DeepLearning_Uni/PneumoniaDetection_XAI_v1,jan.ewerszumrode@miele.com,FINISHED,False,"(0.9, 0.999)",151,1e-08,0.002187761623949553,-0.01,min,val_loss,Adam,20,0,0,-2.6897692680358887,,68,88,,,,0.7495219707489014,,-2.3684072494506836,,,20,testing,,
2021-12-21 14:33:43,19.2min,0b94b84e3326463a968db67cd1381755,,NOTEBOOK,/Users/jan.ewerszumrode@miele.com/DeepLearning_Uni/PneumoniaDetection_XAI_v1,jan.ewerszumrode@miele.com,FINISHED,False,"(0.9, 0.999)",151,1e-08,1.1246049739669264e-05,-0.01,min,val_loss,Adam,20,0,0,,,,,,,,0.6826003789901733,,-0.5693559646606445,,,,training,,
2021-12-21 09:40:42,38.0min,4a7699798e964e14bf8c91116facafb7,,NOTEBOOK,/Users/jan.ewerszumrode@miele.com/DeepLearning_Uni/PneumoniaDetection_XAI_v1,jan.ewerszumrode@miele.com,FINISHED,False,"(0.9, 0.999)",151,1e-08,0.001,-0.01,min,val_loss,Adam,20,0,0,-1.9264302253723145,,41,61,,,,0.7715105414390564,,-1.8112664222717285,,,20,training,,
2021-12-20 18:38:21,21.8min,4084a7641d4a4e1e810c509da4ad3bc4,,NOTEBOOK,/Users/jan.ewerszumrode@miele.com/DeepLearning_Uni/PneumoniaDetection_XAI_v1,jan.ewerszumrode@miele.com,FINISHED,False,"(0.9, 0.999)",101,1e-08,0.001,-0.0,min,val_loss,Adam,10,0,0,-1.7969290018081665,,26,36,,,,0.7629063129425049,,-1.7523581981658936,,,10,testing,,80% F1
2021-12-20 18:19:27,14.6min,3a16851570eb4726a02384393006610c,,NOTEBOOK,/Users/jan.ewerszumrode@miele.com/DeepLearning_Uni/PneumoniaDetection_XAI_v1,jan.ewerszumrode@miele.com,FINISHED,False,"(0.9, 0.999)",31,1e-08,0.001,-0.0,min,val_loss,Adam,3,0,0,-1.5060325860977173,,20,23,,,,0.7753345966339111,,-1.4581758975982666,,,3,testing,,
2021-12-20 18:08:55,4.6min,9880489dc5e74959a739a088465efc65,,NOTEBOOK,/Users/jan.ewerszumrode@miele.com/DeepLearning_Uni/PneumoniaDetection_XAI_v1,jan.ewerszumrode@miele.com,FINISHED,,,,,,0.0,max,val_f1_score,,3,0,,0.7629063129425049,,3,6,,,,0.7514340281486511,,-1.208673357963562,,,3,testing,,
2021-12-20 18:02:55,3.5min,0a0920b4d872475b9d28768626d14442,,NOTEBOOK,/Users/jan.ewerszumrode@miele.com/DeepLearning_Uni/PneumoniaDetection_XAI_v1,jan.ewerszumrode@miele.com,FINISHED,False,"(0.9, 0.999)",31,1e-08,0.01,0.0,max,val_f1_score,Adam,3,0,0,0.7523900866508484,,1,4,,,,0.6252390146255493,,-6.337737083435059,,,3,testing,,
2021-12-20 17:14:50,3.8min,588ca5b3da194c94a31b6fa567af5baf,,NOTEBOOK,/Users/jan.ewerszumrode@miele.com/DeepLearning_Uni/PneumoniaDetection_XAI_v1,jan.ewerszumrode@miele.com,FINISHED,False,"(0.9, 0.999)",31,1e-08,0.017378008287493765,0.0,max,val_f1_score,Adam,3,0,0,0.7695984840393066,,2,5,,,,0.7466539144515991,,-6.823866844177246,,,3,testing,,
